iter	Passed	Remaining
0	417	208364
1	421	104973
2	426	70715
3	430	53340
4	488	48341
5	928	76451
6	1358	95651
7	1772	109026
8	2193	119668
9	2201	107866
10	2621	116547
11	2626	106829
12	3042	113986
13	3046	105771
14	3053	98743
15	3060	92591
16	3066	87112
17	3505	93860
18	3565	90255
19	3982	95581
20	4398	100317
21	4816	104657
22	5247	108824
23	5254	104213
24	5687	108063
25	6104	111294
26	6548	114713
27	6581	110945
28	6997	113654
29	7418	116229
30	7840	118624
31	8265	120888
32	8283	117225
33	8696	119199
34	9125	121241
35	9555	123153
36	9561	119647
37	9972	121245
38	10404	122985
39	10819	124422
40	11254	125992
41	11673	127294
42	12101	128615
43	12519	129750
44	12952	130966
45	13369	131948
46	13373	128895
47	13792	129883
48	14208	130775
49	14638	131743
50	15069	132674
51	15488	133435
52	15498	130715
53	15914	131438
54	15921	128820
55	16341	129565
56	16764	130289
57	17195	131043
58	17620	131703
59	18038	132279
60	18042	129844
61	18471	130490
62	18893	131057
63	19325	131654
64	19744	132135
65	20177	132680
66	20618	133253
67	21043	133687
68	21480	134176
69	21928	134705
70	22367	135149
71	22816	135629
72	23254	136021
73	23686	136357
74	24117	136667
75	24123	134583
76	24547	134852
77	24975	135125
78	25419	135463
79	25861	135771
80	26289	135989
81	26723	136224
82	27170	136505
83	27590	136639
84	28011	136760
85	28014	134862
86	28023	133029
87	28448	133188
88	28872	133330
89	29309	133522
90	29741	133671
91	30175	133821
92	30605	133940
93	31055	134132
94	31062	132425
95	31508	132600
96	31516	130940
97	31961	131108
98	32392	131206
99	32825	131300
100	33275	131454
101	33709	131534
102	34151	131631
103	34595	131730
104	35039	131814
105	35473	131855
106	35921	131937
107	36344	131918
108	36767	131890
109	37188	131849
110	37604	131785
111	38029	131743
112	38034	130260
113	38038	128798
114	38450	128724
115	38878	128702
116	39305	128666
117	39310	127258
118	39313	125870
119	39736	125831
120	40163	125802
121	40604	125808
122	40609	124469
123	41025	124400
124	41030	123091
125	41449	123033
126	41870	122973
127	42297	122927
128	42723	122872
129	43143	122792
130	43572	122734
131	43996	122655
132	44419	122571
133	44423	121337
134	44843	121244
135	45279	121188
136	45703	121097
137	46124	120992
138	46556	120911
139	46976	120796
140	46981	119618
141	47404	119513
142	47826	119399
143	48315	119446
144	48735	119316
145	49176	119236
146	49597	119102
147	49601	117970
148	50019	117830
149	50446	117708
150	50452	116607
151	50869	116465
152	51293	116331
153	51724	116212
154	52146	116068
155	52580	115945
156	52585	114885
