iter	Logloss
0	0.6767386826
1	0.6622343514
2	0.6492174455
3	0.6382643417
4	0.6282542576
5	0.6191972812
6	0.611037493
7	0.6041317244
8	0.597741162
9	0.5923320178
10	0.5877179715
11	0.5834754647
12	0.5797922009
13	0.5761574137
14	0.5730379928
15	0.5702544139
16	0.5677256443
17	0.5654560655
18	0.5632524997
19	0.5614733577
20	0.5596841975
21	0.5580230447
22	0.5567785047
23	0.5553578399
24	0.5540982617
25	0.5529596257
26	0.5518143671
27	0.550835387
28	0.5499202024
29	0.5491738398
30	0.5484782588
31	0.5477931517
32	0.547079152
33	0.5464970504
34	0.5459716137
35	0.5455746686
36	0.5450598631
37	0.5445900366
38	0.5441189698
39	0.5437506528
40	0.543308784
41	0.5430092379
42	0.5426080645
43	0.542304986
44	0.541975377
45	0.5417395892
46	0.5414182752
47	0.5412006424
48	0.540951144
49	0.5406199011
50	0.540398717
51	0.5401817135
52	0.5400252396
53	0.5398473205
54	0.5396571529
55	0.5394852819
56	0.5393161693
57	0.5391483971
58	0.5390163579
59	0.5388394676
60	0.5386919537
61	0.5385521958
62	0.5384534967
63	0.5382506577
64	0.5381278046
65	0.5380140557
66	0.5378744682
67	0.5377560874
68	0.5376400977
69	0.5375143789
70	0.5374490392
71	0.5373554903
72	0.5372395502
73	0.5371101497
74	0.5370077676
75	0.5369067297
76	0.5367768949
77	0.5366606599
78	0.5365928684
79	0.5364734658
80	0.5363949138
81	0.536332902
82	0.5362378133
83	0.5361556565
84	0.5360460562
85	0.5359493024
86	0.5358267375
87	0.5357480355
88	0.5356796509
89	0.535639437
90	0.535588299
91	0.5355157327
92	0.5354720926
93	0.5353603178
94	0.5352994031
95	0.5352370323
96	0.5351928443
97	0.5351146139
98	0.5350660631
99	0.5349870402
100	0.5349433726
101	0.5348758763
102	0.5348023478
103	0.5347644165
104	0.5346925034
105	0.5346221895
106	0.5345679288
107	0.5345211782
108	0.5344632242
109	0.5343969304
110	0.5343484337
111	0.5342570546
112	0.5341701667
113	0.5340786192
114	0.5340204589
115	0.5338864601
116	0.5338230394
117	0.53373427
118	0.5336761608
119	0.5336008421
120	0.533565323
121	0.5335341707
122	0.5334620614
123	0.5334227791
124	0.5333982072
125	0.5333538218
126	0.5333211489
127	0.5333005786
128	0.5332594838
129	0.5332107041
130	0.5331678279
131	0.5331166229
132	0.533059845
133	0.5330098204
134	0.5329608015
135	0.5329265855
136	0.5328940311
137	0.5328159459
138	0.5327541143
139	0.5326941614
140	0.5326538812
141	0.5325964474
142	0.5325693112
143	0.5325464192
144	0.5324825694
145	0.5324558358
146	0.5324117601
147	0.5323683571
148	0.5323650724
149	0.5322982897
150	0.5322485106
151	0.5322132889
152	0.5321661503
153	0.5321321163
154	0.5320729188
155	0.5319855481
156	0.5319548162
157	0.5319091956
158	0.5318730068
159	0.5318473993
160	0.5318361495
161	0.5317967428
162	0.5317559372
163	0.5317067639
164	0.5316186664
165	0.5315885423
166	0.5315036196
167	0.5314962845
168	0.5314631266
169	0.531407676
170	0.5313408617
171	0.5312958715
172	0.5312618824
173	0.5312408344
174	0.5312057581
175	0.5311685205
176	0.5311411875
177	0.5310901182
178	0.5310316829
179	0.5309948695
180	0.5309549128
181	0.5309083921
182	0.5308685796
183	0.5308238728
184	0.5307802468
185	0.5306943982
186	0.5306191311
187	0.5305917574
188	0.5304987227
189	0.5304447173
190	0.5304215066
191	0.5303786469
192	0.5303206204
193	0.5303012006
194	0.5302582015
195	0.5302427957
196	0.5302182387
197	0.5301602816
198	0.5300765439
199	0.5300312136
200	0.5299913351
201	0.5299548168
202	0.5298928661
203	0.5298515102
204	0.5298079148
205	0.5297888734
206	0.5297646687
207	0.5297518427
208	0.5297084979
209	0.5296763796
210	0.529649088
211	0.5295836459
212	0.5295575991
213	0.5294762799
214	0.5294086261
215	0.5293642808
216	0.5293250278
217	0.5292811216
218	0.5292495443
219	0.5292049819
220	0.5291692303
221	0.5291370209
222	0.5290775025
223	0.5290331648
224	0.5289783987
225	0.5289310125
226	0.5288740315
227	0.5288256864
228	0.5287890515
229	0.5287256298
230	0.5286737204
231	0.5286355358
232	0.5285859931
233	0.5285433029
234	0.5284768748
235	0.5284456252
236	0.5283793652
237	0.5283363513
238	0.5282840045
239	0.5282529192
240	0.5282373154
241	0.5281868674
242	0.5281363862
243	0.5280852131
244	0.5280457169
245	0.5279971367
246	0.5279588179
247	0.5279489477
248	0.5278982764
249	0.5278753994
250	0.527828715
251	0.5277941479
252	0.5277733051
253	0.5277367828
254	0.527695407
255	0.5276464334
256	0.5275715238
257	0.527501246
258	0.5274480802
259	0.5274221558
260	0.5273816181
261	0.5273753901
262	0.5273442762
263	0.5273119108
264	0.5272694903
265	0.5272473785
266	0.5271905728
267	0.5271458608
268	0.527111114
269	0.5270659502
270	0.5270109105
271	0.5269476119
272	0.526902416
273	0.526860468
274	0.5268126477
275	0.526773444
276	0.5267259806
277	0.5266896309
278	0.5266496306
279	0.5266175372
280	0.5265921137
281	0.5265506198
282	0.5265148027
283	0.5264692542
284	0.5264251132
285	0.5263856752
286	0.5263017758
287	0.5262704441
288	0.5262351791
289	0.5261853327
290	0.5261411726
291	0.5260832988
292	0.5260240118
293	0.5259920379
294	0.5259580617
295	0.5259533821
296	0.5259016896
297	0.5258791346
298	0.5258443864
299	0.5258002087
300	0.5257943949
301	0.5257558272
302	0.5257334941
303	0.5256845059
304	0.5256530888
305	0.5256130025
306	0.5255695642
307	0.5255374662
308	0.5254952737
309	0.5254430424
310	0.5254300877
311	0.5253469485
312	0.5253027671
313	0.5252633997
314	0.5252352945
315	0.5251690287
316	0.5251346332
317	0.5250742196
318	0.5250332675
319	0.5249911298
320	0.5249410819
321	0.5248972108
322	0.5248357867
323	0.5247762463
324	0.5247436991
325	0.5246799368
326	0.524632087
327	0.5245869883
328	0.5245550144
329	0.5245389274
330	0.5244781507
331	0.5244521815
332	0.5244394405
333	0.5243987627
334	0.524382652
335	0.5243256481
336	0.5242918032
337	0.5242384226
338	0.5241720432
339	0.5241382509
340	0.5240913373
341	0.5240630831
342	0.5240253726
343	0.5239772902
344	0.523937533
345	0.5239104996
346	0.5238665371
347	0.523837406
348	0.5237958716
349	0.5237592243
350	0.5237156439
351	0.5236762983
352	0.5236383096
353	0.5236344033
354	0.5235909573
355	0.5235858586
356	0.5235476976
357	0.5235142644
358	0.5234633756
359	0.5234175002
360	0.5233676411
361	0.5233291579
362	0.5232958497
363	0.5232603778
364	0.5232257138
365	0.5231858623
366	0.5231373156
367	0.5231120201
