iter	Passed	Remaining
0	9	9784
1	22	11153
2	35	11924
3	48	11979
4	58	11682
5	73	12117
6	85	12088
7	96	11921
8	107	11797
9	119	11842
10	131	11778
11	143	11845
12	154	11758
13	165	11659
14	178	11716
15	191	11792
16	204	11838
17	217	11848
18	228	11814
19	240	11763
20	251	11731
21	263	11705
22	275	11699
23	289	11777
24	303	11846
25	318	11944
26	331	11933
27	345	11993
28	356	11927
29	370	11985
30	383	11997
31	396	11981
32	408	11965
33	421	11971
34	434	11969
35	444	11915
36	464	12082
37	476	12061
38	489	12051
39	501	12038
40	514	12044
41	528	12051
42	540	12024
43	555	12062
44	569	12092
45	583	12103
46	596	12101
47	611	12131
48	623	12093
49	635	12073
50	650	12100
51	664	12122
52	677	12107
53	690	12095
54	702	12078
55	715	12061
56	728	12046
57	742	12056
58	754	12038
59	768	12042
60	782	12042
61	794	12017
62	808	12023
63	820	11999
64	833	11988
65	848	12002
66	860	11976
67	872	11962
68	884	11940
69	897	11927
70	912	11933
71	924	11911
72	936	11891
73	951	11905
74	967	11935
75	984	11966
76	1001	11999
77	1015	12002
78	1029	12000
79	1046	12030
80	1060	12027
81	1075	12039
82	1091	12055
83	1103	12038
84	1118	12043
85	1132	12031
86	1144	12014
87	1160	12031
88	1172	12004
89	1184	11978
90	1196	11956
91	1209	11935
92	1223	11929
93	1237	11927
94	1249	11904
95	1262	11888
96	1275	11870
97	1287	11846
98	1299	11823
99	1312	11809
100	1324	11790
101	1336	11763
102	1348	11741
103	1360	11718
104	1370	11683
105	1382	11663
106	1394	11635
107	1406	11620
108	1419	11602
109	1433	11594
110	1453	11638
111	1467	11634
112	1480	11623
113	1493	11605
114	1508	11605
115	1521	11594
116	1533	11574
117	1545	11554
118	1558	11539
119	1571	11525
120	1584	11507
121	1595	11485
122	1607	11464
123	1620	11449
124	1632	11427
125	1646	11417
126	1660	11414
127	1672	11391
128	1684	11371
129	1695	11350
130	1709	11343
131	1723	11335
132	1738	11330
133	1752	11325
134	1766	11316
135	1780	11308
136	1792	11288
137	1804	11272
138	1817	11256
139	1828	11234
140	1840	11212
141	1852	11196
142	1865	11180
143	1877	11161
144	1888	11137
145	1902	11129
146	1914	11111
147	1927	11094
148	1937	11064
149	1948	11041
150	1960	11022
151	1972	11005
152	1987	11004
153	1999	10985
154	2012	10970
155	2028	10975
156	2041	10960
157	2053	10945
158	2067	10933
159	2079	10917
160	2097	10928
161	2111	10920
162	2123	10906
163	2137	10895
164	2152	10891
165	2164	10872
166	2176	10854
167	2188	10835
168	2200	10820
169	2216	10823
170	2231	10818
171	2244	10804
172	2256	10788
173	2268	10769
174	2279	10745
175	2296	10750
176	2308	10735
177	2323	10730
178	2336	10715
179	2350	10709
180	2362	10689
181	2374	10672
182	2386	10656
183	2401	10650
184	2413	10631
185	2428	10627
186	2445	10632
187	2459	10623
188	2472	10609
189	2485	10594
190	2497	10578
191	2509	10560
192	2521	10543
193	2534	10528
194	2547	10518
195	2559	10499
196	2571	10482
197	2583	10465
198	2598	10457
199	2610	10440
200	2620	10418
201	2633	10402
202	2649	10402
203	2662	10388
204	2675	10376
205	2689	10366
206	2702	10352
207	2715	10338
208	2730	10332
209	2743	10319
210	2755	10305
211	2768	10291
212	2783	10286
213	2798	10276
214	2810	10261
215	2822	10243
216	2833	10223
217	2844	10203
218	2858	10194
219	2872	10184
220	2885	10170
221	2898	10156
222	2910	10141
223	2922	10124
224	2934	10109
225	2947	10094
226	2960	10081
227	2973	10066
228	2984	10048
229	2999	10040
230	3011	10026
231	3027	10021
232	3040	10009
233	3054	9997
234	3068	9990
235	3082	9978
236	3095	9967
237	3108	9951
238	3120	9937
239	3133	9923
240	3146	9908
241	3158	9892
242	3170	9875
243	3182	9860
244	3195	9846
245	3211	9843
246	3223	9827
247	3237	9816
248	3249	9800
249	3261	9783
250	3273	9767
251	3287	9758
252	3299	9741
253	3312	9728
254	3325	9714
255	3341	9712
256	3357	9706
257	3374	9705
258	3389	9698
259	3408	9701
260	3426	9701
261	3441	9694
262	3452	9674
263	3464	9657
264	3476	9642
265	3489	9627
266	3500	9610
267	3513	9595
268	3525	9579
269	3537	9565
270	3552	9556
271	3564	9540
272	3576	9524
273	3591	9515
274	3602	9498
275	3614	9482
276	3627	9467
277	3639	9452
278	3651	9436
279	3664	9423
280	3676	9407
281	3689	9394
282	3702	9380
283	3715	9367
284	3730	9360
285	3745	9350
286	3756	9333
287	3770	9322
288	3783	9307
289	3795	9291
290	3807	9276
291	3819	9260
292	3831	9244
293	3842	9226
294	3854	9211
295	3868	9199
296	3881	9187
297	3896	9178
298	3909	9166
299	3922	9152
300	3932	9131
301	3942	9112
302	3954	9097
303	3969	9088
304	3982	9073
305	3995	9062
306	4010	9052
307	4022	9037
308	4034	9023
309	4046	9007
310	4058	8990
311	4069	8972
312	4083	8962
313	4095	8948
314	4107	8932
315	4120	8918
316	4134	8908
317	4146	8892
318	4160	8882
319	4174	8870
320	4186	8855
321	4199	8843
322	4214	8832
323	4225	8816
324	4239	8805
325	4252	8791
326	4265	8779
327	4279	8768
328	4295	8760
329	4308	8748
330	4323	8739
331	4336	8724
332	4350	8715
333	4366	8707
334	4381	8697
335	4397	8690
336	4410	8676
337	4427	8670
338	4441	8659
339	4454	8647
340	4466	8632
341	4479	8618
342	4492	8606
343	4505	8591
344	4519	8580
345	4530	8564
346	4542	8549
347	4554	8533
348	4566	8518
349	4578	8503
350	4590	8487
351	4604	8476
352	4615	8458
353	4626	8442
354	4639	8429
355	4650	8412
356	4663	8399
357	4675	8384
358	4689	8373
359	4701	8358
360	4715	8346
361	4727	8332
362	4739	8317
363	4751	8302
364	4765	8291
365	4779	8278
366	4794	8268
367	4806	8254
368	4820	8242
369	4832	8228
370	4843	8211
371	4855	8197
372	4867	8182
373	4879	8167
374	4891	8152
375	4903	8137
376	4918	8127
377	4932	8116
378	4945	8103
379	4955	8085
380	4968	8072
381	4983	8061
382	4999	8054
383	5014	8044
384	5027	8031
385	5040	8018
386	5052	8003
387	5065	7989
388	5080	7979
389	5093	7966
390	5106	7952
391	5119	7940
392	5131	7926
393	5143	7910
394	5156	7897
395	5168	7883
396	5180	7869
397	5193	7855
398	5204	7839
399	5217	7825
400	5229	7811
401	5241	7796
402	5253	7782
403	5268	7772
404	5281	7758
405	5292	7743
406	5306	7732
407	5319	7718
408	5332	7705
409	5345	7692
410	5359	7680
411	5373	7668
412	5385	7654
413	5399	7642
414	5420	7640
415	5433	7628
416	5446	7615
417	5461	7604
418	5472	7588
419	5487	7578
420	5500	7564
421	5514	7553
422	5526	7539
423	5540	7526
424	5554	7514
425	5566	7500
426	5580	7487
427	5595	7477
428	5610	7467
429	5626	7458
430	5644	7451
431	5660	7442
432	5679	7437
433	5694	7425
434	5712	7419
435	5729	7411
436	5742	7397
437	5761	7392
438	5775	7381
439	5793	7373
440	5805	7359
441	5817	7344
442	5830	7330
443	5842	7316
444	5859	7308
445	5884	7309
446	5897	7295
447	5910	7282
448	5923	7268
449	5937	7257
450	5951	7244
451	5965	7232
452	5978	7218
453	5991	7205
454	6004	7191
455	6018	7180
456	6030	7165
457	6042	7150
458	6055	7137
459	6068	7123
460	6084	7113
461	6097	7100
462	6109	7086
463	6122	7072
464	6134	7058
465	6146	7043
466	6158	7028
467	6171	7015
468	6183	7000
469	6196	6987
470	6209	6973
471	6220	6958
472	6234	6945
473	6246	6932
474	6263	6922
475	6274	6907
476	6286	6892
477	6298	6878
478	6310	6863
479	6321	6848
480	6333	6834
481	6348	6822
482	6362	6810
483	6376	6798
484	6389	6784
485	6402	6771
486	6418	6760
487	6430	6746
488	6442	6732
489	6454	6717
490	6466	6703
491	6479	6690
492	6492	6676
493	6504	6662
494	6519	6650
495	6531	6636
496	6544	6623
497	6556	6608
498	6568	6595
499	6581	6581
500	6594	6568
501	6606	6553
502	6619	6540
503	6631	6526
504	6646	6514
505	6658	6500
506	6670	6486
507	6682	6472
508	6694	6457
509	6706	6443
510	6719	6430
511	6732	6416
512	6743	6402
513	6756	6388
514	6771	6376
515	6783	6362
516	6795	6348
517	6807	6334
518	6820	6320
519	6832	6307
520	6845	6293
521	6859	6281
522	6871	6267
523	6885	6254
524	6899	6242
525	6911	6228
526	6924	6215
527	6938	6203
528	6953	6190
529	6964	6176
530	6976	6161
531	6991	6150
532	7003	6136
533	7015	6122
534	7027	6108
535	7040	6094
536	7054	6082
537	7068	6070
538	7081	6056
539	7092	6042
540	7104	6027
541	7116	6013
542	7129	6000
543	7142	5986
544	7156	5974
545	7171	5962
546	7184	5949
